"FileName","Bitrate","Folder","FullPath","Size_MB","LastModified"
"ポイズン・バタフライ.wav","?1411kbps","D:\Dropbox","D:\Dropbox\ポイズン・バタフライ.wav","43.31","2021/08/18 23:30:01"
"変身ビースト・シュナイダー.wav","?1411kbps","D:\home\バックアップ関連\デスクトップ整理20091123","D:\home\バックアップ関連\デスクトップ整理20091123\変身ビースト・シュナイダー.wav","12.09","2009/08/09 22:56:32"
"04 くちびるヌード.wav","?1411kbps","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編\04 くちびるヌード.wav","39.02","2014/04/27 16:45:40"
"07 さみしんぼう.wav","?1411kbps","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編\07 さみしんぼう.wav","50.66","2014/04/27 16:46:32"
"08 あこがれ座.wav","?1411kbps","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編\08 あこがれ座.wav","51.85","2014/04/27 16:46:50"
"09 Hurry Up.wav","?1411kbps","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編\09 Hurry Up.wav","38.36","2014/04/27 16:47:03"
"10 舞・舞・舞.wav","?1411kbps","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編\10 舞・舞・舞.wav","34.72","2014/04/27 16:47:15"
"12 お祭り忍者.wav","?1411kbps","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編\12 お祭り忍者.wav","47.68","2014/04/27 16:47:44"
"13 そんなの悲しいね.wav","?1411kbps","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編\13 そんなの悲しいね.wav","45.13","2014/04/27 16:47:57"
"14 真夏の出来事.wav","?1411kbps","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編","D:\home\高音質2304以外\20世紀BEST アイドル・ヒストリー コロムビア編\14 真夏の出来事.wav","44.51","2014/04/27 16:48:10"
